team,over,batter,bowler,non_striker,batter_runs,extras_runs,total_runs,wides,byes,legbyes,noballs,penalty,wickets
Royal Challengers Bengaluru,0,V Kohli,DL Chahar,F du Plessis,0,1,1,1,0,0,0,0,
Royal Challengers Bengaluru,0,V Kohli,DL Chahar,F du Plessis,1,0,1,0,0,0,0,0,
Royal Challengers Bengaluru,0,F du Plessis,DL Chahar,V Kohli,0,0,0,0,0,0,0,0,
Royal Challengers Bengaluru,0,F du Plessis,DL Chahar,V Kohli,0,0,0,0,0,0,0,0,
Royal Challengers Bengaluru,0,F du Plessis,DL Chahar,V Kohli,0,0,0,0,0,0,0,0,
Royal Challengers Bengaluru,0,F du Plessis,DL Chahar,V Kohli,4,0,4,0,0,0,0,0,
Royal Challengers Bengaluru,0,F du Plessis,DL Chahar,V Kohli,1,0,1,0,0,0,0,0,
Royal Challengers Bengaluru,1,F du Plessis,TU Deshpande,V Kohli,4,0,4,0,0,0,0,0,
Royal Challengers Bengaluru,1,F du Plessis,TU Deshpande,V Kohli,0,0,0,0,0,0,0,0,
Royal Challengers Bengaluru,1,F du Plessis,TU Deshpande,V Kohli,4,0,4,0,0,0,0,0,
Royal Challengers Bengaluru,1,F du Plessis,TU Deshpande,V Kohli,0,0,0,0,0,0,0,0,
Royal Challengers Bengaluru,1,F du Plessis,TU Deshpande,V Kohli,0,0,0,0,0,0,0,0,
Royal Challengers Bengaluru,1,F du Plessis,TU Deshpande,V Kohli,1,0,1,0,0,0,0,0,
Royal Challengers Bengaluru,2,F du Plessis,DL Chahar,V Kohli,4,0,4,0,0,0,0,0,
Royal Challengers Bengaluru,2,F du Plessis,DL Chahar,V Kohli,0,1,1,1,0,0,0,0,
Royal Challengers Bengaluru,2,F du Plessis,DL Chahar,V Kohli,0,0,0,0,0,0,0,0,
Royal Challengers Bengaluru,2,F du Plessis,DL Chahar,V Kohli,4,0,4,0,0,0,0,0,
Royal Challengers Bengaluru,2,F du Plessis,DL Chahar,V Kohli,4,0,4,0,0,0,0,0,
Royal Challengers Bengaluru,2,F du Plessis,DL Chahar,V Kohli,0,0,0,0,0,0,0,0,
Royal Challengers Bengaluru,2,F du Plessis,DL Chahar,V Kohli,4,0,4,0,0,0,0,0,
Royal Challengers Bengaluru,3,V Kohli,M Theekshana,F du Plessis,0,0,0,0,0,0,0,0,
Royal Challengers Bengaluru,3,V Kohli,M Theekshana,F du Plessis,1,0,1,0,0,0,0,0,
Royal Challengers Bengaluru,3,F du Plessis,M Theekshana,V Kohli,0,0,0,0,0,0,0,0,
Royal Challengers Bengaluru,3,F du Plessis,M Theekshana,V Kohli,0,1,1,0,1,0,0,0,
Royal Challengers Bengaluru,3,V Kohli,M Theekshana,F du Plessis,1,0,1,0,0,0,0,0,
Royal Challengers Bengaluru,3,F du Plessis,M Theekshana,V Kohli,1,0,1,0,0,0,0,0,
Royal Challengers Bengaluru,4,F du Plessis,Mustafizur Rahman,V Kohli,0,0,0,0,0,0,0,0,
Royal Challengers Bengaluru,4,F du Plessis,Mustafizur Rahman,V Kohli,4,0,4,0,0,0,0,0,
Royal Challengers Bengaluru,4,F du Plessis,Mustafizur Rahman,V Kohli,0,0,0,0,0,0,0,0,F du Plessis
Royal Challengers Bengaluru,4,RM Patidar,Mustafizur Rahman,V Kohli,0,0,0,0,0,0,0,0,
Royal Challengers Bengaluru,4,RM Patidar,Mustafizur Rahman,V Kohli,0,0,0,0,0,0,0,0,
Royal Challengers Bengaluru,4,RM Patidar,Mustafizur Rahman,V Kohli,0,0,0,0,0,0,0,0,RM Patidar
Royal Challengers Bengaluru,5,V Kohli,DL Chahar,GJ Maxwell,0,0,0,0,0,0,0,0,
Royal Challengers Bengaluru,5,V Kohli,DL Chahar,GJ Maxwell,1,0,1,0,0,0,0,0,
Royal Challengers Bengaluru,5,GJ Maxwell,DL Chahar,V Kohli,0,0,0,0,0,0,0,0,GJ Maxwell
Royal Challengers Bengaluru,5,C Green,DL Chahar,V Kohli,0,0,0,0,0,0,0,0,
Royal Challengers Bengaluru,5,C Green,DL Chahar,V Kohli,0,0,0,0,0,0,0,0,
Royal Challengers Bengaluru,5,C Green,DL Chahar,V Kohli,0,0,0,0,0,0,0,0,
Royal Challengers Bengaluru,6,V Kohli,RA Jadeja,C Green,1,0,1,0,0,0,0,0,
Royal Challengers Bengaluru,6,C Green,RA Jadeja,V Kohli,2,0,2,0,0,0,0,0,
Royal Challengers Bengaluru,6,C Green,RA Jadeja,V Kohli,0,0,0,0,0,0,0,0,
Royal Challengers Bengaluru,6,C Green,RA Jadeja,V Kohli,1,0,1,0,0,0,0,0,
Royal Challengers Bengaluru,6,V Kohli,RA Jadeja,C Green,1,0,1,0,0,0,0,0,
Royal Challengers Bengaluru,6,C Green,RA Jadeja,V Kohli,1,0,1,0,0,0,0,0,
Royal Challengers Bengaluru,7,C Green,M Theekshana,V Kohli,0,0,0,0,0,0,0,0,
Royal Challengers Bengaluru,7,C Green,M Theekshana,V Kohli,1,0,1,0,0,0,0,0,
Royal Challengers Bengaluru,7,V Kohli,M Theekshana,C Green,2,0,2,0,0,0,0,0,
Royal Challengers Bengaluru,7,V Kohli,M Theekshana,C Green,1,0,1,0,0,0,0,0,
Royal Challengers Bengaluru,7,C Green,M Theekshana,V Kohli,2,0,2,0,0,0,0,0,
Royal Challengers Bengaluru,7,C Green,M Theekshana,V Kohli,1,0,1,0,0,0,0,0,
Royal Challengers Bengaluru,8,C Green,RA Jadeja,V Kohli,1,0,1,0,0,0,0,0,
Royal Challengers Bengaluru,8,V Kohli,RA Jadeja,C Green,1,0,1,0,0,0,0,0,
Royal Challengers Bengaluru,8,C Green,RA Jadeja,V Kohli,0,0,0,0,0,0,0,0,
Royal Challengers Bengaluru,8,C Green,RA Jadeja,V Kohli,4,0,4,0,0,0,0,0,
Royal Challengers Bengaluru,8,C Green,RA Jadeja,V Kohli,1,0,1,0,0,0,0,0,
Royal Challengers Bengaluru,8,V Kohli,RA Jadeja,C Green,1,0,1,0,0,0,0,0,
Royal Challengers Bengaluru,9,V Kohli,M Theekshana,C Green,2,0,2,0,0,0,0,0,
Royal Challengers Bengaluru,9,V Kohli,M Theekshana,C Green,6,0,6,0,0,0,0,0,
Royal Challengers Bengaluru,9,V Kohli,M Theekshana,C Green,1,0,1,0,0,0,0,0,
Royal Challengers Bengaluru,9,C Green,M Theekshana,V Kohli,1,0,1,0,0,0,0,0,
Royal Challengers Bengaluru,9,V Kohli,M Theekshana,C Green,1,0,1,0,0,0,0,0,
Royal Challengers Bengaluru,9,C Green,M Theekshana,V Kohli,1,0,1,0,0,0,0,0,
Royal Challengers Bengaluru,10,C Green,RA Jadeja,V Kohli,0,0,0,0,0,0,0,0,
Royal Challengers Bengaluru,10,C Green,RA Jadeja,V Kohli,0,0,0,0,0,0,0,0,
Royal Challengers Bengaluru,10,C Green,RA Jadeja,V Kohli,1,0,1,0,0,0,0,0,
Royal Challengers Bengaluru,10,V Kohli,RA Jadeja,C Green,0,0,0,0,0,0,0,0,
Royal Challengers Bengaluru,10,V Kohli,RA Jadeja,C Green,0,0,0,0,0,0,0,0,
Royal Challengers Bengaluru,10,V Kohli,RA Jadeja,C Green,0,0,0,0,0,0,0,0,
Royal Challengers Bengaluru,11,C Green,Mustafizur Rahman,V Kohli,1,0,1,0,0,0,0,0,
Royal Challengers Bengaluru,11,V Kohli,Mustafizur Rahman,C Green,0,0,0,0,0,0,0,0,V Kohli
