team,over,batter,bowler,non_striker,batter_runs,extras_runs,total_runs,wides,byes,legbyes,noballs,penalty,wickets
Delhi Capitals,0,DA Warner,SM Curran,MR Marsh,1,0,1,0,0,0,0,0,
Delhi Capitals,0,MR Marsh,SM Curran,DA Warner,4,0,4,0,0,0,0,0,
Delhi Capitals,0,MR Marsh,SM Curran,DA Warner,4,0,4,0,0,0,0,0,
Delhi Capitals,0,MR Marsh,SM Curran,DA Warner,0,0,0,0,0,0,0,0,
Delhi Capitals,0,MR Marsh,SM Curran,DA Warner,0,1,1,1,0,0,0,0,
Delhi Capitals,0,MR Marsh,SM Curran,DA Warner,0,0,0,0,0,0,0,0,
Delhi Capitals,0,MR Marsh,SM Curran,DA Warner,0,0,0,0,0,0,0,0,
Delhi Capitals,1,DA Warner,Arshdeep Singh,MR Marsh,0,0,0,0,0,0,0,0,
Delhi Capitals,1,DA Warner,Arshdeep Singh,MR Marsh,0,0,0,0,0,0,0,0,
Delhi Capitals,1,DA Warner,Arshdeep Singh,MR Marsh,6,0,6,0,0,0,0,0,
Delhi Capitals,1,DA Warner,Arshdeep Singh,MR Marsh,4,0,4,0,0,0,0,0,
Delhi Capitals,1,DA Warner,Arshdeep Singh,MR Marsh,0,0,0,0,0,0,0,0,
Delhi Capitals,1,DA Warner,Arshdeep Singh,MR Marsh,0,1,1,1,0,0,0,0,
Delhi Capitals,1,DA Warner,Arshdeep Singh,MR Marsh,0,0,0,0,0,0,0,0,
Delhi Capitals,2,MR Marsh,K Rabada,DA Warner,0,1,1,1,0,0,0,0,
Delhi Capitals,2,MR Marsh,K Rabada,DA Warner,6,0,6,0,0,0,0,0,
Delhi Capitals,2,MR Marsh,K Rabada,DA Warner,0,0,0,0,0,0,0,0,
Delhi Capitals,2,MR Marsh,K Rabada,DA Warner,0,4,4,0,0,4,0,0,
Delhi Capitals,2,MR Marsh,K Rabada,DA Warner,0,0,0,0,0,0,0,0,
Delhi Capitals,2,MR Marsh,K Rabada,DA Warner,0,1,1,0,0,1,0,0,
Delhi Capitals,2,DA Warner,K Rabada,MR Marsh,0,0,0,0,0,0,0,0,
Delhi Capitals,3,MR Marsh,Arshdeep Singh,DA Warner,6,0,6,0,0,0,0,0,
Delhi Capitals,3,MR Marsh,Arshdeep Singh,DA Warner,0,0,0,0,0,0,0,0,MR Marsh
Delhi Capitals,3,SD Hope,Arshdeep Singh,DA Warner,0,0,0,0,0,0,0,0,
Delhi Capitals,3,SD Hope,Arshdeep Singh,DA Warner,0,0,0,0,0,0,0,0,
Delhi Capitals,3,SD Hope,Arshdeep Singh,DA Warner,0,0,0,0,0,0,0,0,
Delhi Capitals,3,SD Hope,Arshdeep Singh,DA Warner,1,0,1,0,0,0,0,0,
Delhi Capitals,4,SD Hope,K Rabada,DA Warner,0,0,0,0,0,0,0,0,
Delhi Capitals,4,SD Hope,K Rabada,DA Warner,1,0,1,0,0,0,0,0,
Delhi Capitals,4,DA Warner,K Rabada,SD Hope,0,0,0,0,0,0,0,0,
Delhi Capitals,4,DA Warner,K Rabada,SD Hope,4,0,4,0,0,0,0,0,
Delhi Capitals,4,DA Warner,K Rabada,SD Hope,6,0,6,0,0,0,0,0,
Delhi Capitals,4,DA Warner,K Rabada,SD Hope,0,0,0,0,0,0,0,0,
Delhi Capitals,5,SD Hope,Harpreet Brar,DA Warner,0,0,0,0,0,0,0,0,
Delhi Capitals,5,SD Hope,Harpreet Brar,DA Warner,0,0,0,0,0,0,0,0,
Delhi Capitals,5,SD Hope,Harpreet Brar,DA Warner,1,0,1,0,0,0,0,0,
Delhi Capitals,5,DA Warner,Harpreet Brar,SD Hope,0,0,0,0,0,0,0,0,
Delhi Capitals,5,DA Warner,Harpreet Brar,SD Hope,1,0,1,0,0,0,0,0,
Delhi Capitals,5,SD Hope,Harpreet Brar,DA Warner,1,0,1,0,0,0,0,0,
Delhi Capitals,6,SD Hope,RD Chahar,DA Warner,1,0,1,0,0,0,0,0,
Delhi Capitals,6,DA Warner,RD Chahar,SD Hope,1,0,1,0,0,0,0,0,
Delhi Capitals,6,SD Hope,RD Chahar,DA Warner,1,0,1,0,0,0,0,0,
Delhi Capitals,6,DA Warner,RD Chahar,SD Hope,1,0,1,0,0,0,0,0,
Delhi Capitals,6,SD Hope,RD Chahar,DA Warner,6,0,6,0,0,0,0,0,
Delhi Capitals,6,SD Hope,RD Chahar,DA Warner,4,0,4,0,0,0,0,0,
Delhi Capitals,7,DA Warner,HV Patel,SD Hope,4,0,4,0,0,0,0,0,
Delhi Capitals,7,DA Warner,HV Patel,SD Hope,0,0,0,0,0,0,0,0,
Delhi Capitals,7,DA Warner,HV Patel,SD Hope,0,0,0,0,0,0,0,0,
Delhi Capitals,7,DA Warner,HV Patel,SD Hope,1,0,1,0,0,0,0,0,
Delhi Capitals,7,SD Hope,HV Patel,DA Warner,1,0,1,0,0,0,0,0,
Delhi Capitals,7,DA Warner,HV Patel,SD Hope,0,0,0,0,0,0,0,0,DA Warner
Delhi Capitals,8,SD Hope,Harpreet Brar,RR Pant,1,0,1,0,0,0,0,0,
Delhi Capitals,8,RR Pant,Harpreet Brar,SD Hope,0,0,0,0,0,0,0,0,
Delhi Capitals,8,RR Pant,Harpreet Brar,SD Hope,1,0,1,0,0,0,0,0,
Delhi Capitals,8,SD Hope,Harpreet Brar,RR Pant,1,0,1,0,0,0,0,0,
Delhi Capitals,8,RR Pant,Harpreet Brar,SD Hope,1,0,1,0,0,0,0,0,
Delhi Capitals,8,SD Hope,Harpreet Brar,RR Pant,1,0,1,0,0,0,0,0,
Delhi Capitals,9,SD Hope,RD Chahar,RR Pant,0,0,0,0,0,0,0,0,
Delhi Capitals,9,SD Hope,RD Chahar,RR Pant,4,0,4,0,0,0,0,0,
Delhi Capitals,9,SD Hope,RD Chahar,RR Pant,1,0,1,0,0,0,0,0,
Delhi Capitals,9,RR Pant,RD Chahar,SD Hope,0,0,0,0,0,0,0,0,
Delhi Capitals,9,RR Pant,RD Chahar,SD Hope,1,0,1,0,0,0,0,0,
Delhi Capitals,9,SD Hope,RD Chahar,RR Pant,1,0,1,0,0,0,0,0,
Delhi Capitals,10,SD Hope,K Rabada,RR Pant,1,0,1,0,0,0,0,0,
Delhi Capitals,10,RR Pant,K Rabada,SD Hope,1,0,1,0,0,0,0,0,
Delhi Capitals,10,SD Hope,K Rabada,RR Pant,6,0,6,0,0,0,0,0,
Delhi Capitals,10,SD Hope,K Rabada,RR Pant,0,0,0,0,0,0,0,0,SD Hope
Delhi Capitals,10,RK Bhui,K Rabada,RR Pant,0,0,0,0,0,0,0,0,
Delhi Capitals,10,RK Bhui,K Rabada,RR Pant,1,0,1,0,0,0,0,0,
Delhi Capitals,11,RK Bhui,RD Chahar,RR Pant,1,0,1,0,0,0,0,0,
Delhi Capitals,11,RR Pant,RD Chahar,RK Bhui,4,0,4,0,0,0,0,0,
Delhi Capitals,11,RR Pant,RD Chahar,RK Bhui,1,0,1,0,0,0,0,0,
Delhi Capitals,11,RK Bhui,RD Chahar,RR Pant,0,0,0,0,0,0,0,0,
Delhi Capitals,11,RK Bhui,RD Chahar,RR Pant,1,0,1,0,0,0,0,0,
Delhi Capitals,11,RR Pant,RD Chahar,RK Bhui,1,0,1,0,0,0,0,0,
Delhi Capitals,12,RR Pant,HV Patel,RK Bhui,2,0,2,0,0,0,0,0,
Delhi Capitals,12,RR Pant,HV Patel,RK Bhui,4,0,4,0,0,0,0,0,
Delhi Capitals,12,RR Pant,HV Patel,RK Bhui,2,0,2,0,0,0,0,0,
